name,имя покемона на английском
japanese_name,имя покемона в оригинале (на японском)
pokedex_number,регистрационный номер в Покедексе
percentage_male,"количество покемонов мужского пола (%), пустое, если у покемона нет гендера "
type1,первичный тип покемона
type2,вторичный тип покемона
classification,классификация по Лунному и Солнечному Покедоксу
height_m,высота покемона (м)
weight_kg,вес покемона (кг)
capture_rate,уровень ловца покемона
base_egg_steps,"количество шагов, нужное для того, чтобы поймать покемона"
abilities,"список способностей, которые могут быть у покемона"
experience_growth,опыт роста покемонов
base_happiness,базовое счастье покемона
against_?: ,"18 особенностей, обозначающих количество урона, полученного от атаки определённого типа"
hp,базовые HP (очки жизни) покемона
attack,базовая атака покемона
defense: The Base Defense of the Pokemon,базовая защита покемона
sp_attack,базовая специальная атака покемона
sp_defense,базовая специальная защита покемона
speed,базовая скорость покемона
generation: ,"номер поколения, в котором покемон появился"
is_legendary,легендарный покемон или нет
