"Ref_ID"	"Annotations"	"Pdu_0h_head1"	"Pdu_0h_head2"	"Pdu_0h_tail1"	"Pdu_0h_tail2"	"Pdu_4h_head1"	"Pdu_4h_head2"	"Pdu_4h_tail1"	"Pdu_4h_tail2"	"Pdu_12h_head1"	"Pdu_12h_head2"	"Pdu_12h_tail1"	"Pdu_12h_tail2"	"Pdu_24h_head1"	"Pdu_24h_head2"	"Pdu_24h_tail1"	"Pdu_24h_tail2"	"Pdu_48h_head1"	"Pdu_48h_head2"	"Pdu_48h_tail1"	"Pdu_48h_tail2"	"Pdu_96h_head1"	"Pdu_96h_head2"	"Pdu_96h_tail1"	"Pdu_96h_tail2"
"Pdum_ref_seq_10275"	"Pdum-Wnt8"	1.951471	1.549071	1.794534	1.410538	2.07083	0.597051	1.983121	1.081536	2.770579	1.394052	1.726066	2.667559	2.059035	2.620574	3.463493	6.552018	4.467096	2.859174	4.111002	5.930582	2.385922	4.934233	4.606421	5.181316
"Pdum_ref_seq_16870"	"Pdum-Shisa3"	19.427171	18.019628	18.520691	20.462452	32.594263	30.40693	21.263684	23.545538	38.395741	34.335754	43.887803	36.334399	46.880812	53.078094	49.625443	48.814013	73.815947	58.252264	47.396084	58.403648	45.454898	53.397881	31.803591	51.508039
"Pdum_ref_seq_16908"	"Pdum-Caudal"	0.564555	0.196447	0.905226	0.090157	51.909817	87.537667	16.451945	20.095267	222.117905	326.851533	33.925439	32.822699	164.217503	159.923184	10.374784	6.774758	92.33496	125.709589	1.847208	1.735487	112.841877	13.769553	0.405287	0.211296
"Pdum_ref_seq_18491"	"Pdum-WntA"	3.401195	4.835615	3.492238	4.195644	2.150816	2.348385	1.934433	2.18216	5.200082	4.331712	3.61932	3.774324	5.858465	6.414098	6.842784	6.638053	6.077909	7.101496	5.851186	6.121704	4.233314	6.527138	5.626628	5.184375
"Pdum_ref_seq_18958"	"Pdum-Post2"	0.668382	0.570024	0.549607	0.32618	2.090235	3.132233	1.160069	1.282926	29.190885	56.023339	5.440034	5.897936	48.427909	59.926583	8.861021	4.889268	32.548055	30.786331	1.958843	2.340287	43.172568	31.447418	2.505228	2.398472
"Pdum_ref_seq_19567"	"Pdum-Wnt7"	3.982757	4.81506	3.574451	3.676773	6.845327	6.314009	4.120571	6.360414	7.88871	7.044675	7.652905	7.025558	8.665644	10.577404	8.597723	8.99835	8.338223	9.976045	5.836511	6.523374	9.838165	13.00492	6.593004	9.70158
"Pdum_ref_seq_2021"	"Pdum-Wnt2"	1.19941	1.071211	1.292034	0.494225	0.369575	0.677663	0.723294	0.62019	1.531699	1.12372	0.516185	0.476726	1.886782	1.806916	1.497486	0.7311	2.247692	2.671775	1.256402	1.964782	1.733589	3.083207	1.438707	2.55421
"Pdum_ref_seq_24696"	"Pdum-Wnt1"	0.923818	1.411549	1.806707	0.795347	1.311793	1.112656	0.670447	0.442089	1.394165	1.836957	1.303387	0.460032	1.502931	2.10425	0.674148	0.781228	3.252738	3.775704	0.154653	0.58433	4.6344	5.423737	1.094224	1.277584
"Pdum_ref_seq_25705"	"Pdum-Wnt16"	6.465122	7.336979	7.786084	6.567351	3.196766	4.944596	2.000286	4.232572	2.869023	4.10519	2.646801	2.72637	6.221855	6.372688	3.445225	4.174316	7.696858	9.283473	5.485579	5.145281	14.525749	18.300391	10.274695	10.877913
"Pdum_ref_seq_4241"	"Pdum-Wnt5"	10.41681	9.690313	9.554984	7.884857	5.766119	5.375916	4.019017	4.245368	6.428788	5.674478	5.134336	6.639562	11.97267	14.19601	9.370498	8.138324	17.28416	17.89176	10.66723	14.47904	19.47594	20.50558	14.97842	13.45821
"Pdum_ref_seq_4359"	"Pdum-Wnt6"	0	0.196816	0.077612	0.132056	0.672924	0.340308	0.277585	0.073149	4.599424	7.864884	0.174874	0.349618	7.401815	5.121663	0.084593	0.090858	5.600866	17.26068	0	0.220416	18.01354	22.82265	0.194045	0.20351
